INPUT_TABLE,,,,,
Variable ID,,,,,
TranTechLoadFactor,,,,,
,,,,,
region,supplysector,tranSubsector,tranTechnology,year,loadFactor
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2060,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2065,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2070,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2075,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2080,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2085,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2090,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2095,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2100,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,NG,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,NG,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,NG,2010,2.44
India,trn_pass_road_LDV_4W,LDV_4W,NG,2015,2.39
India,trn_pass_road_LDV_4W,LDV_4W,NG,2020,2.33
India,trn_pass_road_LDV_4W,LDV_4W,NG,2025,2.44
India,trn_pass_road_LDV_4W,LDV_4W,NG,2030,2.55
India,trn_pass_road_LDV_4W,LDV_4W,NG,2035,2.66
India,trn_pass_road_LDV_4W,LDV_4W,NG,2040,2.77
India,trn_pass_road_LDV_4W,LDV_4W,NG,2045,2.88
India,trn_pass_road_LDV_4W,LDV_4W,NG,2050,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2055,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2060,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2065,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2070,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2075,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2080,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2085,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2090,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2095,3
India,trn_pass_road_LDV_4W,LDV_4W,NG,2100,3
